== Phase 1 ==
MEM: abs=16642998272 bytes
== Phase 2 ==
CPU: threads=12 util=0.66 duration=416s
[metrics] name=MD elapsed_s=77.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=78.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=79.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=80.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=81.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=82.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=83.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=84.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=85.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=86.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=87.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=88.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=89.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=90.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=91.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=92.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=93.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=94.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=95.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=96.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=97.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=98.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=99.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=100.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=101.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=102.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=103.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=104.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=105.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=106.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=107.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=108.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=109.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=110.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=111.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=112.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=113.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=114.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=115.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=116.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=117.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=118.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=119.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=120.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=121.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=122.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=123.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=124.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=125.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=126.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=127.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=128.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=129.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=130.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=131.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=132.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=133.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=134.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=135.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=136.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=137.0 alloc_bytes=16642998272 VmRSS_kib=16255744
