== Phase 1 ==
MEM: abs=11703785881 bytes
== Phase 2 ==
CPU: threads=28 util=0.94 duration=169s
[metrics] name=DL elapsed_s=79.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=80.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=81.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=82.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=83.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=84.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=85.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=86.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=87.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=88.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=89.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=90.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=91.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=92.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=93.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=94.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=95.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=96.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=97.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=98.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=99.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=100.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=101.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=102.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=103.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=104.0 alloc_bytes=11703785881 VmRSS_kib=11432448
